       Name        RA_deg        DEC_deg  Redshift         Method     EBV  Explosion      Peak  Quality  Survey 
   PS111bdn  36.442883330  -5.0657138900     0.738       Mg_Lines  0.0252   55894.85  55929.13     Gold     PS1 
    PS111tt  243.19074167  +54.071377780     1.283       Mg_Lines   0.008   55573.49   55675.6   Silver     PS1 
   PS112bmy  53.554679170  -26.521447220     1.572       Mg_Lines  0.0091   56054.56  56136.01   Silver     PS1 
   PS112bqf  36.227587500  -4.8396444400     0.522       Mg_Lines  0.0242   56182.35   56242.4     Gold     PS1 
   PS112cil  130.23403750  +45.411647200      0.32    SN_features  0.0234   56262.78   56300.6     Gold     PS1 
    PS112zn  149.95672900  +2.8588470000     0.674     Host_lines  0.0181   56003.77   56028.3   Bronze     PS1 
    PS113gt  184.50847917  +47.579430560     0.884       Mg_Lines  0.0152    56255.8  56307.48   Silver     PS1 
    PS113or  148.66790000  +2.1950666700      1.52    SN_features  0.0308   56304.26   56395.3     Gold     PS1 
    PS114bj  150.53513750  +3.6552833300    0.5215     Host_lines  0.0189   56594.15  56781.86     Gold     PS1 
    PS15cjz  40.185916670  -0.8906666700      0.22  Host_spectrum  0.0293   57252.35  57318.51     Gold     DES 
 PSNJ000123  0.3473330000  +0.0844500000     0.281     Host_lines  0.0258   53611.45   53659.2   Bronze    SDSS 
   PTF09atu  247.60229167  +23.640277780    0.5015  Host_spectrum  0.0409    54957.9  55068.19     Gold     PTF 
   PTF09cnd  243.03725000  +51.487805560    0.2584  Host_spectrum  0.0207    55017.1   55087.1     Gold     PTF 
  PTF10aagc  144.98717917  +21.721413890     0.206  Host_spectrum  0.0224   55489.67  55501.76   Silver     PTF 
   PTF10bfz  193.67195833  +15.404722220    0.1701  Host_spectrum  0.0176    55207.1  55231.69   Silver     PTF 
   PTF10bjp  151.64291667  +67.988611110    0.3584  Host_spectrum  0.0527    55187.0  55246.21   Silver     PTF 
   PTF10iam  236.37854200  +54.042500000     0.109     Host_lines  0.0089   55338.32  55353.49   Silver     PTF 
   PTF10nmn  237.51170417  -7.4117722200    0.1237  Host_spectrum  0.1337   55256.54  55325.92   Silver     PTF 
